Index,Value (Decimal),Character
0,123,{
1,10,
2,32, 
3,32, 
4,34,""""
5,115,s
6,116,t
7,117,u
8,100,d
9,101,e
10,110,n
11,116,t
12,73,I
13,68,D
14,115,s
15,34,""""
16,58,:
17,32, 
18,91,[
19,10,
20,32, 
21,32, 
22,0,
23,255,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,44,","
31,10,
32,32, 
33,32, 
34,32, 
35,32, 
36,55,7
37,54,6
38,53,5
39,53,5
40,52,4
41,56,8
42,44,","
43,10,
44,32, 
45,32, 
46,32, 
47,32, 
48,54,6
49,48,0
50,53,5
51,53,5
52,52,4
53,56,8
54,44,","
55,10,
56,32, 
57,32, 
58,32, 
59,32, 
60,54,6
61,52,4
62,48,0
63,55,7
64,52,4
65,56,8
66,44,","
67,10,
68,32, 
69,32, 
70,32, 
71,32, 
72,55,7
73,52,4
74,50,2
75,55,7
76,52,4
77,56,8
78,10,
79,32, 
80,32, 
81,93,]
82,44,","
83,10,
84,32, 
85,32, 
86,34,""""
87,101,e
88,110,n
89,100,d
90,112,p
91,111,o
92,105,i
93,110,n
94,116,t
95,34,""""
96,58,:
97,32, 
98,34,""""
99,115,s
100,116,t
101,117,u
102,100,d
103,101,e
104,110,n
105,116,t
106,105,i
107,110,n
108,102,f
109,111,o
110,114,r
111,109,m
112,97,a
113,116,t
114,105,i
115,111,o
116,110,n
117,47,/
118,36,$
119,73,I
120,68,D
121,46,.
122,106,j
123,115,s
124,111,o
125,110,n
126,34,""""
127,10,
128,125,}
129,0,
130,128,
131,0,
194,169,
195,0,
258,123,{
259,10,
260,32, 
261,32, 
262,34,""""
263,101,e
264,114,r
265,114,r
266,111,o
267,114,r
268,34,""""
269,58,:
270,32, 
271,34,""""
272,73,I
273,110,n
274,118,v
275,97,a
276,108,l
277,105,i
278,100,d
279,32, 
280,101,e
281,110,n
282,100,d
283,112,p
284,111,o
285,105,i
286,110,n
287,116,t
288,34,""""
289,10,
290,125,}
291,0,
292,112,p
293,105,i
294,47,/
295,54,6
296,53,5
297,57,9
298,53,5
299,52,4
300,56,8
301,46,.
302,106,j
303,115,s
304,111,o
305,110,n
306,0,
307,0,
308,65,A
309,85,U
310,84,T
311,72,H
312,69,E
313,78,N
314,84,T
315,73,I
316,67,C
317,65,A
318,84,T
319,73,I
320,79,O
321,78,N
323,98,b
324,111,o
325,98,b
